"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering1_1.csv",,,,"Date:","27 Sep 2022 17:40:59 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.566,0.393,94.975,0.966,0.099,1536987.917,2756006.952,0,0,2927.000,6050.701,1056.133,380.650
0,0,100,0,0,32768,0,4790,915,16384,0,279,335
0,0.200,99.399,0.401,0,0,286720,4304,350,0,0,283,358
0.200,0,99.800,0,0,0,0,4948,583,0,0,258,318
0,0.200,99.600,0,0.200,16384,0,5206,451,8192,0,273,324
0,0,100,0,0,0,0,3802,392,0,0,255,328
0,0,99.799,0.201,0,49152,0,8544,583,24576,0,292,332
0,0.200,99.399,0.401,0,32768,57344,4580,459,16384,0,280,346
0,0,99.800,0,0.200,0,0,4654,358,0,0,261,310
0,0.200,99.800,0,0,0,0,8720,493,0,0,261,306
0,0,100,0,0,0,0,4634,451,0,0,289,354
0,0,99.800,0,0.200,0,0,4476,342,0,0,247,310
0,0.200,99.800,0,0,0,0,5194,583,0,0,262,316
0.401,0.200,99.198,0.200,0,16384,24576,4516,451,8192,0,405,468
0,0.200,99.800,0,0,0,0,4066,358,0,0,231,306
0,0,99.800,0,0.200,16384,0,5554,451,8192,0,267,322
0,0,100,0,0,32768,0,4768,459,16384,0,275,340
0,0.200,99.800,0,0,0,0,3764,350,0,0,229,302
0,0,99.800,0,0.200,0,0,4860,451,0,0,261,326
0.201,0,99.598,0.201,0,0,40960,5010,451,0,0,280,344
0,0,100,0,0,0,0,4988,342,0,0,265,316
0,0.200,99.800,0,0,40960,0,7454,583,20480,0,265,322
0.200,0,99.599,0,0.200,0,0,4550,459,0,0,284,358
0,0.200,99.800,0,0,0,0,4114,342,0,0,256,330
0,0,100,0,0,0,0,3672,451,0,0,237,308
0.200,0,99.599,0.200,0,0,24576,4174,451,0,0,289,364
0,0.200,99.600,0,0.200,0,0,3208,342,0,0,221,316
0,0,100,0,0,32768,0,4492,451,16384,0,241,310
0,0.200,99.800,0,0,0,0,4208,459,0,0,272,344
0,0,100,0,0,0,0,8226,444,0,0,262,306
0,0.200,99.600,0,0.200,0,0,3692,907,0,0,236,324
0,0.200,99.399,0.401,0,16384,24576,3848,451,8192,0,275,354
0,0,100,0,0,0,0,5407,358,0,0,237,310
0,0,99.198,0.601,0.200,0,294912,5550,451,0,0,299,327
0.200,0,99.800,0,0,0,0,5028,451,0,0,279,330
0,0,100,0,0,0,0,4512,342,0,0,250,318
0,0,100,0,0,32768,0,8648,583,16384,0,268,323
0.200,0,99.399,0.200,0.200,0,57344,4592,459,0,0,277,340
0,0.200,99.800,0,0,0,0,3660,342,0,0,252,342
0.201,0,99.799,0,0,0,0,6026,1285,0,0,336,372
5.645,2.016,80.040,12.097,0.202,6324224,0,13887,14609,0,0,1008,913
4.016,1.606,77.711,16.466,0.201,13770752,0,4574,342,0,0,986,1066
3.393,1.198,77.445,17.964,0,15212544,0,5336,451,0,0,868,928
3.200,1,78.200,17.400,0.200,17702912,253952,4920,451,16384,0,710,765
19.192,3.030,68.889,8.485,0.404,6414336,0,5437,7561,16384,0,1955,2091
17.706,3.421,70.624,8.048,0.201,5406720,65536,5838,459,0,0,1424,1231
15.726,4.637,72.984,6.452,0.202,3719168,0,5169,693,0,0,1912,1727
23.896,3.614,66.466,5.823,0.201,3661824,0,4914,518,0,0,2191,1937
27.236,2.033,61.992,8.537,0.203,5480448,73728,20882,129245,663552,0,2375,1786
20.363,3.226,69.153,7.056,0.202,3194880,0,24953,128491,192512,0,2304,1910
22.244,2.806,67.335,7.415,0.200,2818048,0,5350,1928,0,0,1980,1832
28.427,3.226,65.323,2.823,0.202,2007040,0,9709,5883,0,0,2055,1732
0.200,0.601,99.198,0,0,0,0,5114,451,0,0,531,584
0,0,99.399,0.401,0.200,0,32768,4456,342,0,0,295,382
0.200,0,99.800,0,0,32768,0,3942,517,16384,0,263,362
0,0,99.598,0.402,0,32768,65536,4404,459,16384,0,318,418
0.200,0.200,99.599,0,0,0,0,5412,358,0,0,279,347
