"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering4_2.csv",,,,"Date:","28 Sep 2022 00:47:31 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
8.039,0.692,88.369,2.798,0.102,5142042.353,7513566.860,0,0,7520.618,16676.272,1279.339,314.085
0,0.200,99.800,0,0,0,0,5002,1364,0,0,195,157
0,0,100,0,0,0,0,4660,342,0,0,157,123
0.200,0,99.601,0,0.200,0,0,4928,342,0,0,167,137
0,0.200,99.800,0,0,0,0,3745,900,0,0,189,170
0.200,0,99.800,0,0,0,0,3604,342,0,0,150,132
0,0,99.400,0.400,0.200,0,73728,6152,342,0,0,187,149
0,0.200,99.800,0,0,0,0,4369,900,0,0,175,146
0.200,0,99.800,0,0,0,0,3866,1683,0,0,164,150
0,0,100,0,0,0,0,6374,474,0,0,167,118
0.200,0,99.800,0,0,0,0,4089,900,0,0,170,149
0,0,99.800,0,0.200,0,0,5098,342,0,0,154,124
0,0,99.800,0.200,0,0,24576,4722,474,0,0,177,148
0,0.200,99.800,0,0,0,0,4333,1004,0,0,178,158
0,0,100,0,0,0,0,4206,384,0,0,158,132
0.200,0,99.800,0,0,0,0,3724,342,0,0,148,132
0,0.400,99.400,0,0.200,0,0,5038,1154,0,0,242,195
0,0,100,0,0,0,0,4910,408,0,0,159,129
0,0,99.800,0.200,0,0,32768,4042,342,0,0,162,148
0.200,0,99.600,0,0.200,0,0,6727,900,0,0,184,146
0,0,100,0,0,0,0,4230,342,0,0,147,130
0,0,100,0,0,0,0,5780,342,0,0,172,124
0.200,0,99.601,0,0.200,0,40960,4387,900,0,0,185,156
0,0.200,99.800,0,0,0,0,4440,1641,0,0,173,140
0.200,0,99.600,0.200,0,0,40960,5332,342,0,0,179,148
0,0,99.800,0,0.200,0,0,5479,900,0,0,204,155
0,0,100,0,0,0,0,5066,342,0,0,152,128
0,0.200,99.800,0,0,0,0,5148,342,0,0,162,122
0.200,0,99.800,0,0,0,0,3923,900,0,0,180,166
0,0,99.800,0,0.200,0,0,4658,444,0,0,151,124
0.200,0,99.400,0.400,0,0,24576,4454,798,0,0,173,140
0,0,100,0,0,0,0,6447,900,0,0,182,148
0,0,99.800,0,0.200,0,73728,3814,342,0,0,158,138
0,0,100,0,0,0,0,4654,342,0,0,163,136
0.200,0,99.800,0,0,0,0,3921,900,0,0,162,144
0,0,100,0,0,0,0,4350,384,0,0,164,141
0.200,0,99.401,0.200,0.200,0,24576,4226,342,0,0,172,148
0,0.200,99.800,0,0,0,0,4977,900,0,0,197,162
0.200,0,99.800,0,0,0,0,5188,1641,0,0,186,148
0,0,100,0,0,0,0,10390,342,0,0,193,120
0.200,0,99.601,0,0.200,0,0,4589,900,0,0,184,156
26.626,5.081,67.073,1.016,0.203,1728512,0,7702,2444,0,0,3168,3190
31.653,5.645,62.298,0.202,0.202,0,221184,5183,678,0,0,2762,2304
39.880,4.409,55.110,0.200,0.401,147456,0,4913,1040,0,0,2572,1888
39.479,6.012,54.309,0,0.200,0,0,11135,7168,0,0,2502,2002
32.794,2.632,61.538,2.834,0.202,2990080,0,71205,50200,0,0,2568,2397
53.086,7.202,38.066,1.440,0.206,3301376,90112,6141,1002,0,0,6180,7444
25.605,4.637,66.331,3.024,0.403,2711552,442368,12796,20151,0,0,3066,2865
15.292,0.402,84.306,0,0,16384,8192,142249,80593,0,0,1646,1456
2.200,0,97.600,0,0.200,0,0,4723,908,0,0,236,204
2.610,0.201,97.189,0,0,0,0,6036,1744,0,0,407,356
0.200,0.200,99.600,0,0,0,0,5442,342,0,0,184,170
0,0,99.800,0,0.200,0,0,4723,900,0,0,211,198
0.200,0,99.400,0.400,0,0,131072,4470,1641,0,0,213,201
0.800,0,99,0.200,0,0,65536,6472,1242,0,0,430,391
0,0.200,99.600,0,0.200,0,0,5087,900,0,0,233,209
0,0,100,0,0,0,0,4570,342,0,0,193,178
28.257,2.405,67.535,1.603,0.200,4726784,0,53887,10949,0,0,2372,1970
32,2.600,57,8.200,0.200,4423680,49152,5475,1134,0,0,2108,1657
42.073,2.642,50.203,4.675,0.407,2572288,0,58727,5063,0,0,4736,4790
44.196,8.554,21.181,25.866,0.204,61833216,0,6790,342,4096,0,3818,3557
83.903,13.883,1.811,0.402,0,118751232,0,5264,6175,0,0,3157,2344
74.950,7.415,2.806,14.629,0.200,112721920,1122304,4466,444,0,0,2035,1144
89.579,8.016,0.200,2.204,0,132644864,8192,4358,452,0,0,2370,1194
81.964,11.222,0.401,6.413,0,126353408,65536,4515,1010,0,0,2288,933
75.752,12.224,4.609,7.415,0,118489088,0,3216,452,0,0,1977,804
57.315,3.407,22.445,16.633,0.200,80519168,0,5718,444,24576,0,1959,952
57.171,2.988,16.534,23.307,0,93962240,532480,3807,909,53248,0,1968,866
58.918,8.818,15.631,16.433,0.200,114884608,147456,3828,1657,32768,0,1962,849
73.800,5.400,3.600,17.200,0,109641728,0,4688,592,12288,0,2175,819
71.976,3.629,7.258,16.935,0.202,124960768,32768,3955,6452,0,0,2290,1148
69.416,16.700,4.225,9.457,0.201,144080896,0,24686,12707,16384,0,5675,5090
83,7.400,0.200,9.400,0,89923584,1114112,4312,452,73728,0,2401,1400
74.052,11.976,3.593,10.379,0,89440256,73728,34894,18980,36864,0,3487,2571
67.665,10.579,8.184,13.373,0.200,95035392,8192,3236,460,65536,0,2176,873
86.800,6.200,1.200,5.800,0,135274496,0,3848,358,0,0,2207,896
77.867,2.414,7.847,11.670,0.201,113770496,65536,4771,1003,0,0,1996,833
54.509,10.220,16.232,19.038,0,86343680,1122304,5378,452,0,0,1858,805
72.400,3.600,8.800,15,0.200,141164544,0,3822,452,0,0,2150,884
77.419,5.847,5.242,11.492,0,154402816,614400,8471,1003,0,0,2193,896
87.776,3.206,1.202,7.816,0,136093696,0,4142,5995,0,0,2203,1006
71.713,13.944,2.988,11.155,0.199,117366784,24576,4138,444,40960,0,2110,913
61.460,8.925,8.925,20.690,0,97468416,1105920,24221,13038,49152,0,2167,1385
71.888,11.245,5.020,11.647,0.201,110698496,0,22212,13293,8192,0,2752,1873
89.738,5.835,0.805,3.622,0,112443392,65536,17231,6763,0,0,2460,1663
71.944,12.625,4.609,10.822,0,95166464,0,5225,909,0,0,2726,1627
86.117,2.817,2.414,8.451,0.201,117784576,73728,4376,444,45056,0,2457,1214
81.400,7.800,2.800,8,0,120905728,1130496,4738,562,24576,0,2192,1262
93.173,2.410,0.402,4.016,0,87818240,0,5413,1517,0,0,2447,1222
76.447,13.972,1.397,8.184,0,98828288,0,5228,342,0,0,2426,1160
63.052,1.205,13.052,22.289,0.402,52690944,0,4260,5885,0,0,2525,1338
88.200,3.400,3.800,4.600,0,139173888,0,6213,1003,0,0,2483,1232
62.525,12.826,4.609,20.040,0,92348416,573440,4920,444,0,0,2862,1871
80.040,11.776,1.796,6.188,0.200,144752640,0,35901,18409,0,0,3158,2338
84.569,13.427,0,2.004,0,152223744,16384,14725,6990,0,0,2441,1304
85.857,11.554,0.398,2.191,0,110395392,0,4880,452,0,0,2255,1305
94.378,3.213,0,2.410,0,137625600,0,14957,6424,0,0,2601,1470
83.534,8.434,1.807,6.225,0,146800640,1179648,4473,1003,0,0,2637,1581
96.800,3.200,0,0,0,134201344,0,4798,1649,0,0,2633,1649
82.932,16.867,0.201,0,0,119013376,0,9078,342,0,0,2371,1302
94.800,4,0.800,0.400,0,98287616,0,4875,6444,0,0,2673,1817
83.034,12.176,1.397,3.194,0.200,65781760,0,34693,18405,0,0,3713,2808
85.800,8.400,1.600,4.200,0,98992128,1204224,14118,6329,0,0,2629,1821
84.708,5.433,3.018,6.841,0,68943872,0,5079,1011,0,0,2275,1100
64.386,3.622,16.901,14.889,0.201,64946176,10526720,14161,6431,0,0,2158,1265
74.251,10.180,4.192,11.377,0,110100480,12582912,4402,350,0,0,2188,1034
82.271,12.749,1.195,3.785,0,99885056,23068672,14928,6998,0,0,2158,1329
80.040,2.994,7.385,9.381,0.200,140746752,32915456,4942,452,0,0,2186,1078
75.100,6.024,4.016,14.859,0,83279872,14680064,14243,6439,0,0,2316,1146
58.400,9,7.600,24.800,0.200,56418304,31981568,14633,6993,0,0,2410,1230
54.970,5.274,11.562,27.992,0.203,58286080,20185088,16041,11702,0,0,2435,1472
75.703,3.213,2.811,18.072,0.201,105046016,11796480,5950,452,0,0,2349,1112
62.874,6.786,7.385,22.954,0,72491008,16801792,7111,8960,0,0,1964,970
51.800,3,8.400,36.600,0.200,89948160,39354368,4140,1751,0,0,2219,903
36.419,15.091,10.865,37.425,0.201,48013312,24379392,6416,683,0,0,2073,968
34.930,6.387,25.948,32.535,0.200,54829056,50069504,4601,8567,0,0,1804,851
13.883,1.408,59.557,24.950,0.201,32514048,123363328,6407,785,0,0,1398,1001
13.655,0.803,63.454,21.888,0.201,24002560,69869568,6047,1147,0,0,1312,1050
13.226,3.407,68.737,14.429,0.200,8568832,49291264,4789,4717,0,0,837,487
0,2.008,80.120,17.871,0,0,292478976,9670,350,0,0,1089,459
17.871,2.410,57.229,22.088,0.402,573440,41156608,125032,57363957,0,0,4352,2321
8.184,0.998,70.459,20.160,0.200,1130496,34078720,7310,909,0,0,1272,1334
5.657,1.414,74.141,18.586,0.202,2146304,38273024,15505,3037,0,0,1501,1632
65.462,8.032,19.679,6.627,0.201,499712,32292864,102689973,49472377,0,0,8740,4142
98.193,1.807,0,0,0,0,157761536,4963,1011,0,0,2826,1956
70.791,2.434,20.487,6.288,0,270336,139485184,6378,2401,0,0,3612,3026
44.556,1.210,37.500,16.532,0.202,90112,43253760,5988,2706,0,0,2589,2430
57.143,32.394,7.042,3.219,0.201,24576,167542784,4409,1143,0,0,2441,1248
88.956,1.205,6.627,3.213,0,344064,45613056,5558,3708,0,0,2938,2301
98.597,1.002,0,0.401,0,106496,104103936,4908,452,0,0,2110,854
98.798,0.802,0.401,0,0,0,122232832,30280,49029447,0,0,4022,921
96.600,2.800,0.400,0.200,0,0,150765568,4796,342,0,0,2044,614
82.258,14.113,2.621,1.008,0,0,111149056,102281751,122505,0,0,6715,4862
95.190,4.810,0,0,0,0,167288832,3703,1107,0,0,2264,911
35.729,51.497,9.780,2.994,0,0,132153344,15190,10196113,0,0,3475,2081
70.140,6.613,15.631,7.615,0,0,79151104,60069,89533821,0,0,5203,691
98.193,1.004,0.402,0.201,0.201,0,79429632,6889,6759,0,0,2148,1475
99.197,0.602,0.201,0,0,0,108265472,3904,1228,0,0,1946,727
90.600,9.200,0.200,0,0,0,139116544,3906,444,0,0,1978,495
56.088,32.934,8.383,2.595,0,0,129007616,8931,1081,0,0,1797,468
89.328,8.498,1.581,0.593,0,0,177225728,20224290,49413880,0,0,5627,1815
91.020,7.551,0.816,0.612,0,0,8962048,81386350,9182672,0,0,5927,3453
98.800,0.800,0.200,0.200,0,0,100835328,28497,40204246,0,0,3659,635
