"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering2_3_wo_rep.csv",,,,"Date:","27 Sep 2022 22:40:28 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
7.674,0.772,88.885,2.589,0.080,4152471.341,6211987.531,0,0,6998.654,15271.666,842.072,606.666
0,0,99.800,0.200,0,0,0,8557,1364,0,0,190,158
0,0.200,99.800,0,0,0,0,4098,342,0,0,148,132
0,0.200,99.600,0,0.200,0,40960,5280,342,0,0,203,154
0,0,100,0,0,0,0,4451,900,0,0,176,142
0,0,100,0,0,0,0,4372,342,0,0,163,145
0,0,99.400,0.400,0.200,0,90112,4858,342,0,0,172,139
0.200,0,99.800,0,0,0,0,5225,2459,0,0,220,174
0,0,100,0,0,0,16384,4482,618,0,0,184,146
0,0,100,0,0,0,0,4110,503,0,0,160,140
0,0,99.800,0,0.200,8192,0,3973,900,4096,0,177,156
0,0,100,0,0,0,0,4462,350,0,0,156,126
0,0,99.600,0.400,0,0,24576,4454,342,0,0,171,144
0.200,0,99.800,0,0,0,0,5867,900,0,0,187,169
0,0,99.800,0,0.200,0,0,3810,342,0,0,139,120
0,0,100,0,0,0,0,4730,342,0,0,159,134
0,0.200,99.800,0,0,0,0,5325,900,0,0,168,148
0,0,100,0,0,0,0,4570,342,0,0,161,142
0,0,99.600,0.200,0.200,0,24576,4226,452,0,0,173,154
0,0,100,0,0,0,0,5083,1560,0,0,228,204
0,0,100,0,0,0,0,5342,1112,0,0,229,200
0,0,99.800,0,0.200,0,0,9346,782,0,0,211,174
0,0,100,0,0,0,0,4257,2843,0,0,216,214
0,0,100,0,0,0,0,4889,342,0,0,164,139
0,0,99.800,0.200,0,0,24576,3859,342,0,0,148,134
0,0.200,99.600,0.200,0,8192,0,3808,900,4096,0,180,170
0,0,99.800,0,0.200,0,0,4645,350,0,0,150,124
0,0,100,0,0,0,0,4102,342,0,0,151,128
0,0,100,0,0,16384,0,5383,900,8192,0,182,159
0,0,100,0,0,0,0,4362,452,0,0,155,138
8.451,4.225,85.513,1.610,0.201,2531328,24576,4212,908,8192,0,1709,1495
27.163,7.042,63.783,1.610,0.402,2015232,0,4095,916,4096,0,3338,3434
23.589,6.250,67.540,2.218,0.403,3547136,0,7143,584,0,0,2205,1860
22.535,3.421,67.203,6.640,0.201,5382144,0,6254,342,0,0,2024,1829
20.202,2.828,68.485,8.283,0.202,6250496,49152,4603,1002,4096,0,1757,1470
12.249,2.610,80.522,4.418,0.201,9060352,483328,4098,358,0,0,1660,1254
19,2.400,70.200,8,0.400,8077312,0,4512,2382,0,0,1581,1416
18.036,3.206,70.741,7.816,0.200,6848512,0,5289,3791,8192,0,1810,1566
33.470,4.723,56.879,4.723,0.205,10469376,0,5446,2108,0,0,3205,3104
26.210,6.048,56.250,11.089,0.403,4947968,294912,14363,11197,466944,0,2975,2586
43.260,8.652,38.833,9.054,0.201,2793472,417792,4791,1170,0,0,3601,3557
42.742,7.258,40.524,9.073,0.403,5324800,0,11178,938,0,0,3801,3237
47.295,5.210,35.872,11.222,0.401,3850240,0,4710,770,0,0,3099,2459
50.405,9.312,33.806,6.275,0.202,9248768,0,3621,1448,176128,0,3366,2982
25.050,2.806,64.930,7.014,0.200,6012928,114688,3838,350,0,0,1486,1610
10.600,1.600,75.600,12.200,0,4792320,0,4787,350,0,0,786,750
8.600,1.200,78.800,11.200,0.200,6127616,65536,4369,900,0,0,604,577
13.600,1.400,77.600,7.200,0.200,4554752,0,10697,1107,0,0,1158,1092
32.860,3.245,59.026,4.665,0.203,1474560,0,4876,2784,0,0,1914,1450
42.771,4.016,49.799,3.213,0.201,1843200,835584,4603,4240,0,0,3957,4110
51.844,6.352,41.393,0.205,0.205,40960,0,4620,452,0,0,5012,5980
50.509,6.314,40.326,2.648,0.204,729088,0,83135,27371,0,0,4820,5850
63.800,5.200,27,3.800,0.200,1925120,458752,170233,64786,0,0,4626,5826
29.376,2.414,60.765,7.445,0,3014656,0,20908,7105,0,0,1519,1497
13.800,2.400,75.400,8.200,0.200,6864896,114688,4368,342,0,0,794,662
39.638,3.219,55.734,1.207,0.201,2146304,0,4247,1962,0,0,2681,2404
31.568,2.037,60.489,5.703,0.204,3604480,0,5972,342,0,0,2877,2455
24.848,2.222,68.081,4.646,0.202,2859008,114688,4166,474,4096,0,2124,1893
33.534,2.410,59.639,4.016,0.402,3416064,0,5735,6144,0,0,2642,2189
53.614,4.618,41.365,0.201,0.201,638976,0,8270,5838,0,0,2891,2132
32.787,3.484,59.631,3.689,0.410,5595136,0,7643,10413,0,0,4502,4261
