"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering1_2.csv",,,,"Date:","27 Sep 2022 17:41:05 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.099,0.405,94.281,1.116,0.099,2314634.661,3784199.718,0,0,3096.807,7340.137,1019.939,232.422
0,0,99.798,0.202,0,65536,0,5034,2105,32768,0,188,141
0,0,100,0,0,0,0,4019,950,0,0,177,160
0,0,99.800,0,0.200,0,0,5026,474,0,0,167,128
0,0,100,0,0,0,0,7476,342,0,0,156,124
0,0,100,0,0,0,0,4625,900,0,0,179,146
0,0,99.400,0.400,0.200,0,163840,4474,474,0,0,187,166
0,0,100,0,0,0,0,4930,342,0,0,157,122
0,0,100,0,0,0,0,3657,942,0,0,153,144
0,0,100,0,0,0,0,4396,342,0,0,150,128
0,0,100,0,0,0,0,4492,342,0,0,165,146
0,0.200,99.601,0,0.200,0,0,4067,900,0,0,170,150
0.401,0.601,98.397,0.601,0,32768,24576,4493,601,0,0,266,207
0,0.200,99.800,0,0,0,0,4781,639,0,0,193,148
0,0,99.800,0,0.200,0,0,5267,900,0,0,193,169
0,0,100,0,0,0,0,4712,342,0,0,156,126
0,0,100,0,0,65536,0,4844,1641,32768,0,171,142
0,0,100,0,0,0,40960,3653,908,0,0,166,146
0,0,99.401,0.399,0.200,0,40960,3522,342,0,0,151,146
0,0,100,0,0,0,0,3214,342,0,0,136,128
0,0.200,99.800,0,0,0,0,4185,900,0,0,171,159
0,0,100,0,0,0,0,3550,342,0,0,134,128
0,0,99.800,0,0.200,0,139264,3542,342,0,0,171,142
0,0,100,0,0,0,0,3423,900,0,0,157,146
0,0,99.800,0.200,0,0,32768,8106,342,0,0,181,154
0,0,100,0,0,0,0,2862,342,0,0,127,126
0,0,100,0,0,0,0,5743,900,0,0,176,162
0,0,99.800,0,0.200,0,0,4359,342,0,0,149,126
0,0,100,0,0,0,0,5270,342,0,0,165,122
0,0,100,0,0,0,0,4393,1002,0,0,184,162
0,0.200,99.600,0.200,0,0,24576,5530,798,0,0,209,176
0,0,99.800,0,0.200,0,0,4108,1641,0,0,163,140
0,0,100,0,0,0,8192,4005,900,0,0,172,148
0,0,100,0,0,0,0,4504,342,0,0,157,125
2.806,1.202,89.178,6.613,0.200,5980160,0,7540,2444,208896,0,600,513
5,2.200,78.200,14.600,0,5332992,0,5799,908,0,0,795,765
3.030,1.010,78.788,16.970,0.202,20520960,229376,4318,342,0,0,829,815
3.800,1.400,77.400,17.200,0.200,19636224,0,4146,350,0,0,672,647
14.747,2.424,70.707,11.717,0.404,7970816,0,4697,900,0,0,1718,1837
18,3,71.200,7.600,0.200,5799936,0,4492,342,0,0,1330,1075
15.354,4.444,72.929,7.071,0.202,3227648,65536,5987,576,0,0,1481,1279
22.782,2.823,67.742,6.452,0.202,3891200,32768,4793,908,0,0,2305,1988
25.651,2.605,63.727,7.816,0.200,4489216,0,4454,350,0,0,1796,1384
15.493,2.817,75.252,6.237,0.201,2211840,0,4994,941,0,0,1638,1358
23.293,3.012,66.466,7.028,0.201,3448832,0,9739,2938,0,0,2084,1735
31.474,4.183,60.558,3.586,0.199,2113536,0,7025,6194,24576,0,2130,1749
0.400,0,99.400,0,0.200,8192,0,5252,1649,0,0,382,369
0,0,99.599,0.401,0,0,57344,4353,942,0,0,203,204
16.331,1.411,79.637,2.419,0.202,3284992,65536,18888,3776,0,0,1376,1118
40.202,2.828,52.323,4.444,0.202,8126464,0,4020,350,0,0,2048,1428
34.406,4.628,56.539,4.024,0.402,3244032,81920,41857,2516,0,0,2903,2416
30.060,3.607,62.525,3.607,0.200,4734976,0,6677,917,0,0,1704,1321
6.212,1.002,91.984,0.802,0,540672,0,5693,5686,0,0,866,726
0,0,99.599,0.401,0,0,425984,3783,900,0,0,208,214
5.622,0.602,93.574,0,0.201,237568,0,53259,11094,0,0,930,957
46.914,4.321,46.091,2.263,0.412,12918784,139264,53237,12496,32768,0,6012,6350
79.757,15.587,4.656,0,0,14417920,0,3989,1018,0,0,3460,3058
89.022,10.180,0.798,0,0,30670848,0,4576,444,0,0,3761,3171
84.970,13.828,1.002,0.200,0,30220288,8953856,5324,6442,0,0,3811,3622
83.267,16.135,0.598,0,0,29622272,65536,3739,1474,0,0,3252,2777
96.192,3.607,0.200,0,0,37224448,1146880,4194,350,0,0,3275,3338
81,18.600,0.400,0,0,26214400,0,3926,1751,0,0,3156,2619
96.400,3.400,0.200,0,0,36962304,0,5019,1003,0,0,3855,3376
82.565,16.834,0.401,0.200,0,26779648,19800064,4104,444,0,0,3344,2786
90.400,5,1.200,3.400,0,28213248,53002240,5206,452,32768,0,3300,2932
63.158,21.457,8.502,6.680,0.202,909312,52420608,46179,25097,28672,0,6525,6898
87.375,10.020,1.202,1.403,0,44498944,12107776,15772,6563,0,0,3268,2908
87.375,12.024,0.601,0,0,28049408,0,4408,350,0,0,3461,2536
94.779,4.819,0.402,0,0,32243712,0,4703,6699,0,0,3863,3055
95.609,4.391,0,0,0,33292288,65536,4340,444,0,0,3338,2803
77.291,17.729,4.382,0.598,0,24313856,1146880,5534,452,98304,0,3332,2642
96.607,3.393,0,0,0,36569088,0,4585,1019,65536,0,3943,2912
95.391,4.208,0.401,0,0,37183488,0,4290,452,90112,0,3005,2979
83,16.400,0.600,0,0,29884416,0,15137,6497,0,0,2820,2274
69.478,21.888,8.233,0.201,0.201,31432704,32768,26811,13093,0,0,8182,7715
90.200,8.600,0.800,0.400,0,73760768,1122304,24918,12440,0,0,3748,3456
92.354,7.445,0.201,0,0,68681728,0,4704,1751,0,0,3565,3072
96.008,3.992,0,0,0,72613888,0,4546,1155,0,0,2804,3190
81.764,17.635,0.601,0,0,52690944,0,4888,6160,0,0,2814,2699
95.582,4.217,0.201,0,0,69894144,65536,5374,444,81920,0,4432,3226
96.008,3.792,0,0.200,0,67764224,999424,4347,1019,65536,0,4018,3210
96.200,3.600,0.200,0,0,75055104,0,4228,460,0,0,2902,3131
85.341,12.851,1.205,0.602,0,79282176,0,33953,18469,86016,0,3665,3467
74.900,21.486,3.614,0,0,69042176,0,23871,13101,65536,0,5518,5184
88.200,11.400,0.400,0,0,87818240,40960,4492,452,0,0,2008,2799
95.992,2.605,0,1.403,0,98304000,1138688,4096,452,0,0,1867,2978
92.385,7.415,0.200,0,0,97517568,0,4407,1011,0,0,2386,2994
96.400,3.600,0,0,0,104595456,0,4187,444,0,0,3949,3124
96.393,3.407,0.200,0,0,103284736,0,4326,6726,0,0,4162,3238
75.250,24.351,0.399,0,0,65798144,0,4401,1003,0,0,3107,2220
96.200,3.200,0.200,0.200,0.200,106479616,581632,5204,444,0,0,3761,2906
76.846,20.160,2.994,0,0,55107584,155648,44288,25827,0,0,4934,4305
96.400,3.400,0.200,0,0,35651584,0,14586,7098,0,0,2986,3017
92.600,7,0.400,0,0,33030144,0,3724,342,0,0,2442,2796
96.400,3.600,0,0,0,34455552,0,4282,444,0,0,2421,2894
95.210,4.192,0.200,0.399,0,34078720,1220608,4465,1003,0,0,2253,2906
64.386,31.388,4.024,0.201,0,11976704,4456448,5108,452,0,0,2287,1979
94.800,5,0.200,0,0,0,401178624,4458,350,0,0,4429,3231
83.636,12.929,2.626,0.808,0,8192,185597952,15623,12597,0,0,5842,5021
91.383,6.613,1.603,0.401,0,26320896,174571520,45134,24628,0,0,4829,3745
78.357,6.613,11.824,3.206,0,31203328,37224448,4208,452,0,0,2895,2256
83.768,2.605,10.822,2.806,0,29622272,8167424,3723,909,0,0,2361,2259
97.395,2.605,0,0,0,21561344,0,3950,452,0,0,2392,2442
94.212,5.788,0,0,0,31588352,0,4368,444,16384,0,2220,2149
42.742,9.677,38.306,9.073,0.202,1007616,0,65112,31220,0,0,2781,2291
68.273,20.281,10.442,1.004,0,33153024,32768,54667,3748,106496,0,3109,2471
81.746,12.897,4.960,0.198,0.198,17383424,13893632,5122,1657,8192,0,3417,2560
95.181,2.610,0.201,2.008,0,37486592,15081472,4329,1019,0,0,3879,3051
96.400,2.800,0.400,0.400,0,58949632,142393344,5866,4265,114688,0,4496,3576
95.783,4.217,0,0,0,57679872,185106432,5352,460,0,0,4637,4435
86.228,13.573,0,0.200,0,36741120,99131392,5601,1011,0,0,3979,3836
86.694,6.048,2.823,4.435,0,45162496,73670656,56913,34402,45056,0,3947,3527
