"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering2_2_wo_rep.csv",,,,"Date:","27 Sep 2022 22:40:25 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
6.617,0.612,90.028,2.639,0.104,4976501.322,6592498.053,0,0,6516.378,17342.991,1216.351,292.349
0,0,99.600,0.200,0.200,8192,0,5048,806,4096,0,174,135
0,0,100,0,0,8192,0,4991,1068,4096,0,193,174
0,0,100,0,0,0,0,4396,350,0,0,149,122
0,0,99.800,0,0.200,0,0,7752,342,0,0,164,142
0.200,0,99.800,0,0,8192,0,4979,900,4096,0,191,163
0,0,99.800,0.200,0,0,73728,4100,350,0,0,161,149
0,0.200,99.600,0.200,0,8192,0,5242,342,4096,0,174,133
0,0,99.800,0,0.200,24576,0,3787,974,12288,0,171,156
0,0,100,0,0,0,0,5062,350,0,0,165,136
0,0,100,0,0,0,0,4634,342,0,0,175,149
0.200,0,99.800,0,0,8192,0,4751,2199,4096,0,206,165
0,0,99.599,0.200,0.200,0,24576,4234,350,0,0,168,144
0,0,100,0,0,0,0,4062,342,0,0,146,124
0,0,100,0,0,16384,0,4063,900,8192,0,178,165
0,0,100,0,0,0,0,4538,350,0,0,154,128
0,0,99.800,0,0.200,0,0,4092,342,0,0,149,124
0,0,100,0,0,16384,0,5601,900,8192,0,176,162
0,0,99.600,0.400,0,0,24576,4528,350,0,0,168,142
0,0,99.800,0,0.200,0,0,5598,342,0,0,157,128
0,0,100,0,0,24576,0,3957,900,12288,0,165,161
0,0.200,99.800,0,0,0,0,4776,350,0,0,170,133
0,0,100,0,0,0,0,3880,342,0,0,149,142
0,0,99.800,0,0.200,16384,0,4071,900,8192,0,169,146
0,0,99.800,0.200,0,0,24576,8868,350,0,0,190,138
0,0,100,0,0,0,40960,4408,342,0,0,151,132
0,0,100,0,0,8192,0,4274,2199,4096,0,191,169
0,0,99.800,0,0.200,8192,0,4445,350,4096,0,158,142
0,0,100,0,0,0,0,3957,392,0,0,142,126
0,0,99.800,0.200,0,16384,0,4378,1002,8192,0,177,159
0,0,99.799,0.201,0,0,40960,4280,814,0,0,165,146
0,0,99.800,0,0.200,0,65536,4202,342,0,0,170,132
0,0,100,0,0,8192,0,5299,942,4096,0,179,155
0,0,100,0,0,8192,0,4336,350,4096,0,145,120
0,0,100,0,0,0,0,3734,350,0,0,146,136
0,0,99.800,0,0.200,16384,0,5539,900,8192,0,177,151
0,0,99.799,0.201,0,0,24576,5688,350,0,0,176,135
0,0,100,0,0,0,0,6422,342,0,0,159,131
0,0,100,0,0,16384,0,4183,900,8192,0,176,162
0,0,99.800,0,0.200,0,0,3878,350,0,0,146,124
0,0,100,0,0,0,0,4562,342,0,0,156,130
0.200,0,99.800,0,0,16384,0,5309,2199,8192,0,204,164
0,0,99.399,0.601,0,0,24576,7516,482,4096,0,186,152
0.604,0.402,79.477,19.316,0.201,2744320,0,4830,350,1396736,0,1027,1033
0,0.604,88.330,10.865,0.201,2867200,0,8721,908,1396736,0,851,950
2.008,1.004,78.112,18.675,0.201,15007744,0,4428,2320,819200,0,1181,959
2.405,0.200,96.192,1.002,0.200,2588672,0,4220,350,0,0,855,612
2.600,1.200,87.400,8.600,0.200,3121152,0,4045,900,8192,0,716,718
1.807,0.602,79.317,18.273,0,6635520,221184,3742,350,0,0,628,726
1.210,0.202,79.637,18.750,0.202,9895936,65536,4873,350,0,0,483,573
0.606,0.202,80.202,18.788,0.202,8003584,0,4047,908,8192,0,544,684
2.196,0.798,78.244,18.563,0.200,10797056,0,4272,350,0,0,601,710
2.222,0.606,78.990,18.182,0,12066816,0,3702,342,0,0,546,711
0.800,0.600,79.600,18.800,0.200,10706944,32768,4405,900,8192,0,493,641
9.879,1.815,73.589,14.516,0.202,8609792,0,4722,358,0,0,1121,1341
11.647,2.008,75.301,10.843,0.201,3571712,0,5312,342,0,0,1277,1162
8.652,2.012,77.264,11.871,0.201,4063232,65536,4621,2199,8192,0,743,679
8.048,1.207,76.056,14.688,0,5849088,0,5228,358,0,0,855,852
9.036,3.414,77.912,9.438,0.201,4628480,0,3626,444,0,0,874,842
14.830,4.208,72.745,8.016,0.200,8642560,40960,6790,1598,12288,0,2221,2173
