"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.wang2978-test.uwmadison744-f22-pg0.wisc.cloudlab.us",,,,"User:","Yuhan"
"Cmdline:","dstat --output monitering1_3.csv",,,,"Date:","27 Sep 2022 17:41:17 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.577,0.591,92.486,1.268,0.078,2383375.898,4034512.088,0,0,4826.587,9749.801,710.882,577.686
0,0,100,0,0,0,0,4582,806,0,0,157,130
0,0,100,0,0,0,0,4896,342,0,0,167,139
0,0,99.800,0,0.200,16384,0,4621,2199,8192,0,193,161
0,0,100,0,0,0,0,4020,350,0,0,147,136
0,0,100,0,0,0,0,4114,342,0,0,149,134
0,0,99.599,0.401,0,0,65536,3191,900,0,0,164,160
0,0,100,0,0,0,0,3644,342,0,0,138,134
0,0,100,0,0,0,0,3300,342,0,0,132,136
0,0,100,0,0,0,0,4115,1034,0,0,174,154
0,0,99.800,0,0.200,0,0,4122,704,0,0,173,164
0,0.200,99.800,0,0,0,0,8612,618,0,0,198,156
0,0,99.800,0.200,0,0,32768,3033,900,0,0,163,171
0.200,0,99.800,0,0,0,0,3490,342,0,0,149,132
0,0,99.800,0,0.200,0,0,5269,342,0,0,132,124
0,0,100,0,0,0,57344,5207,900,0,0,199,156
11.111,4.848,83.434,0.404,0.202,32768,0,4592,452,0,0,2059,1904
28.947,5.870,64.777,0.202,0.202,32768,0,4604,342,0,0,2924,2945
33.133,5.823,60.442,0.201,0.402,65536,147456,6212,2535,0,0,2870,2336
22.065,4.453,71.053,2.227,0.202,4014080,0,4062,350,0,0,1870,1413
30.261,4.409,64.329,0.601,0.401,933888,40960,3990,3394,0,0,2240,1683
39.431,6.707,53.659,0,0.203,868352,0,5835,3400,0,0,3138,2635
47.764,8.740,36.992,6.098,0.407,688128,0,16668,11961,249856,0,4496,4603
46.493,9.419,38.277,5.411,0.401,1097728,270336,5395,1114,0,0,3530,2892
43.838,7.879,39.394,8.687,0.202,1712128,0,4861,1010,0,0,3023,2303
55.040,8.065,33.266,3.427,0.202,2121728,0,4488,444,0,0,3134,2606
52.008,6.024,40.964,0.803,0.201,638976,114688,11625,2963,49152,0,2646,2235
36.970,4.646,55.354,2.828,0.202,811008,0,6319,3690,0,0,2305,1795
61,5.400,32.800,0.400,0.400,24576,417792,4312,2268,0,0,4960,5794
39.437,7.445,52.918,0,0.201,0,0,4862,694,0,0,3754,4026
71.602,5.274,21.704,1.420,0,1032192,0,135828,46353,0,0,5175,6615
61.647,5.221,30.321,2.610,0.201,655360,0,137214,59642,0,0,3957,4571
20.040,2.806,71.543,5.411,0.200,2826240,0,6326,1612,0,0,1353,1049
33.806,2.632,60.729,2.632,0.202,1474560,606208,16031,7931,0,0,3475,3214
36.419,2.616,58.551,2.012,0.402,1302528,0,4630,350,0,0,3195,2672
35.438,2.240,61.914,0.204,0.204,188416,0,5542,12917,0,0,2705,2166
6.012,0.601,92.986,0.200,0.200,24576,8192,6651,9115,0,0,733,632
0,0,100,0,0,0,0,3920,350,0,0,244,272
0.802,0,99.198,0,0,0,0,6796,37238,0,0,304,298
16.097,1.408,82.093,0.201,0.201,57344,24576,8201,4010,0,0,1655,1371
59.036,4.418,35.743,0.402,0.402,65536,106496,6620,4584,0,0,6844,6250
58.400,2.600,38.200,0.400,0.400,188416,0,4844,9819,0,0,5075,4835
67.951,6.085,25.355,0.609,0,1228800,0,34944,113757,0,0,3953,4549
71.831,4.225,23.340,0.402,0.201,262144,0,19763,48810,0,0,4362,4409
72.745,11.423,14.830,0.802,0.200,1048576,0,5171,1487,32768,0,3847,3792
86.427,12.375,1.198,0,0,262144,73728,6480,38135,0,0,3670,3755
88.623,10.978,0.399,0,0,262144,73728,10084,650,0,0,3417,3082
87.976,11.423,0.601,0,0,262144,1277952,3926,350,0,0,3458,2876
85,14.800,0.200,0,0,294912,0,4357,2309,16384,0,3408,2623
94.188,5.210,0.601,0,0,262144,0,3938,452,0,0,3986,3341
85.429,13.972,0.399,0.200,0,8192,0,4788,444,0,0,3240,2732
95.582,4.217,0.201,0,0,303104,81920,10345,1303,0,0,3866,3080
80.361,10.621,1.804,7.214,0,0,532480,10758,8899,0,0,2245,2573
79.346,12.679,7.566,0.204,0.204,868352,0,30037,34982,0,0,3549,3999
80.162,15.182,4.656,0,0,8192,0,15609,4443,4096,0,3947,4194
92.814,6.986,0.200,0,0,0,0,4500,350,0,0,3562,2849
90.419,9.381,0.200,0,0,0,327680,15597,9059,0,0,2854,2897
92.986,6.413,0.401,0.200,0,0,1138688,10457,9318,0,0,3303,3006
86.826,12.575,0.599,0,0,0,0,22508,25731,0,0,2864,2705
97.200,2.600,0.200,0,0,0,0,4294,900,0,0,2854,3139
94.212,5.589,0.200,0,0,21766144,0,4629,995,0,0,3938,2972
83.832,15.569,0.599,0,0,32571392,901120,17514,9161,0,0,3632,2603
84.600,12,1.200,2.200,0,72466432,540672,27048,27611,4096,0,3731,3027
80.808,14.747,3.030,1.414,0,70844416,0,18108,13951,20480,0,4878,4412
95.600,4.200,0.200,0,0,69754880,0,4132,350,12288,0,3774,3171
84.168,15.030,0.802,0,0,55058432,0,9844,8965,4096,0,3349,2685
95.992,3.808,0.200,0,0,67108864,0,28619,26751,0,0,3636,3179
92.615,6.986,0.399,0,0,65560576,1204224,9918,8755,12288,0,3334,3058
95.792,4.208,0,0,0,71843840,0,4448,358,8192,0,3213,3110
82.800,16.600,0.600,0,0,55623680,0,9915,9527,4096,0,3237,2827
95.800,4,0,0.200,0,58015744,0,20642,25938,4096,0,3651,3130
82.932,15.261,1.606,0.201,0,71180288,16384,20418,11141,4096,0,3766,3586
83.400,12,4.200,0.200,0.200,83075072,1146880,11250,3723,20480,0,4251,3443
95.808,3.992,0.200,0,0,99885056,57344,9882,8877,4096,0,3708,3023
80.962,18.437,0.601,0,0,75767808,0,4258,460,4096,0,2502,2462
97.400,2.600,0,0,0,100925440,0,21742,26704,0,0,2015,3268
92.585,7.214,0.200,0,0,97853440,0,15290,9154,36864,0,1977,3081
93.825,5.578,0.199,0.398,0,101842944,1204224,4276,452,20480,0,3614,3105
96.600,3.400,0,0,0,97009664,40960,12170,11193,36864,0,2751,3069
74.845,20.412,4.742,0,0,33841152,0,30860,35902,24576,0,6005,5998
77.645,18.164,4.192,0,0,75759616,0,11189,3361,73728,0,5318,5211
96.185,3.815,0,0,0,100139008,0,15971,9626,4096,0,3831,3080
94.990,4.409,0.401,0.200,0,98320384,1204224,9952,8866,4096,0,3866,3112
93,6.800,0.200,0,0,96739328,81920,15514,17228,8192,0,2421,3138
95.573,4.225,0,0.201,0,82329600,0,10511,9436,4096,0,2432,2763
77.711,6.024,8.032,8.032,0.201,75505664,0,11022,8866,4096,0,4160,3104
74.251,21.158,1.198,3.393,0,81281024,0,37355,35978,0,0,4045,3290
77,9.400,3.600,10,0,58671104,13484032,16665,12478,4096,0,3461,2631
92.800,4.600,0.400,2,0.200,112205824,26255360,4158,1644,4096,0,2534,1765
91.549,7.646,0.402,0.402,0,96247808,58720256,14804,18367,4096,0,2787,2045
96,3.600,0.400,0,0,77807616,50593792,10175,10047,0,0,2661,1652
87.226,6.786,1.198,4.790,0,112467968,35471360,65855,85812,4096,0,3059,3090
83.768,10.621,1.202,4.409,0,40763392,127025152,18356,49233,126976,0,3240,2555
79.678,19.316,0.604,0.402,0,24174592,84934656,13644,11467,28672,0,3095,2444
77.844,13.174,6.986,1.996,0,17367040,96542720,4950,460,0,0,2300,1950
93.574,5.823,0.402,0.201,0,8192,100155392,7171,1286,0,0,2659,2707
96.994,2.806,0.200,0,0,0,101081088,14392,9728,0,0,3028,2505
88.247,9.163,1.992,0.598,0,24576,24961024,17518,18444,12288,0,2473,2350
94.400,3,1.400,1.200,0,1073152,58728448,39488,43385,118784,0,3237,2635
93.159,4.427,0.805,1.610,0,270336,119291904,26344,20697,53248,0,4313,4318
96.600,2.800,0.600,0,0,24576,141148160,4556,460,12288,0,4645,4487
89.243,8.566,1.195,0.996,0,507904,45367296,12902,1594,4096,0,4086,3963
82.036,17.365,0.200,0.200,0.200,573440,77381632,5697,1019,40960,0,4195,3498
96.400,3.600,0,0,0,606208,119611392,24399,25543,159744,0,5263,5194
94.611,4.990,0.399,0,0,589824,51339264,42806,43553,28672,0,4409,3787
87.903,4.032,1.411,6.653,0,40148992,13467648,24800,20859,163840,0,4420,3842
83,4.600,4.600,7.600,0.200,63946752,48234496,7955,760,114688,0,4268,3467
90.180,3.607,1.002,5.210,0,77717504,59678720,4528,460,40960,0,3878,3223
93,4.600,0.200,2.200,0,77086720,47284224,19848,20415,24576,0,3505,3488
86.255,4.183,3.187,6.175,0.199,59097088,38805504,32475,35226,57344,0,4149,3481
83,3.800,4,9,0.200,79323136,58507264,22146,18958,98304,0,3895,2680
56.914,14.629,4.609,23.848,0,52903936,23330816,8466,1217,98304,0,2792,1716
84.800,6,2,7,0.200,116097024,23330816,4670,460,94208,0,3481,2312
94.758,3.226,0.202,1.815,0,112377856,46710784,33821,35644,94208,0,4229,3221
91.633,2.988,1.195,4.183,0,62193664,30670848,30111,34752,40960,0,3749,2666
93.587,4.008,0.200,2.204,0,89251840,53575680,12564,9813,57344,0,3720,2715
83.401,5.061,4.453,6.883,0.202,54001664,36175872,15828,3566,135168,0,4267,3750
93.413,2.395,1.198,2.994,0,38322176,16801792,20931,19448,20480,0,3407,2976
94.389,3.206,0.601,1.804,0,32612352,55877632,30642,34131,212992,0,3836,3077
95.600,3.200,0,1.200,0,40321024,89915392,17994,17495,77824,0,3785,3014
89.537,3.421,2.213,4.628,0.201,27541504,29679616,17578,12434,147456,0,3014,2227
88.438,4.868,2.231,4.462,0,24453120,43786240,49088,52972,131072,0,3423,2839
92.063,4.365,0.198,3.373,0,27459584,35225600,23270,66469,0,0,2855,2597
94.949,4.040,0.808,0.202,0,39550976,59031552,75041,42579,32768,0,3387,3304
96.593,3.206,0.200,0,0,974848,35405824,26863,19793,110592,0,2753,2398
93.976,5.422,0.402,0.201,0,204800,94420992,14488,9544,0,0,2692,2271
89.800,3.400,0.200,6.600,0,7610368,75874304,31344,26932,0,0,2845,2195
92.786,3.808,1.804,1.603,0,49242112,21233664,9452,3540,36864,0,2856,2268
57.114,1.603,11.824,29.259,0.200,28655616,27475968,5038,460,45056,0,1871,1465
95.591,3.407,1.002,0,0,18219008,11280384,3659,1019,73728,0,2291,1806
89.357,6.426,0.602,3.614,0,17604608,44826624,4732,460,139264,0,2865,2018
92.585,3.006,0,4.409,0,28966912,10551296,17280,9177,65536,0,2505,1663
